first_name,last_name,store_id,active,Store_and_Status
ANITA,MORALES,2,1,"Store 2 Active"
RHONDA,KENNEDY,2,1,"Store 2 Active"
HAZEL,WARREN,1,1,"Store 1 Active"
AMBER,DIXON,1,1,"Store 1 Active"
EVA,RAMOS,1,1,"Store 1 Active"
DEBBIE,REYES,1,1,"Store 1 Active"
APRIL,BURNS,1,1,"Store 1 Active"
LESLIE,GORDON,1,1,"Store 1 Active"
CLARA,SHAW,1,1,"Store 1 Active"
LUCILLE,HOLMES,1,1,"Store 1 Active"
JAMIE,RICE,1,1,"Store 1 Active"
JOANNE,ROBERTSON,2,1,"Store 2 Active"
ELEANOR,HUNT,1,1,"Store 1 Active"
VALERIE,BLACK,1,1,"Store 1 Active"
DANIELLE,DANIELS,2,1,"Store 2 Active"
MEGAN,PALMER,2,1,"Store 2 Active"
ALICIA,MILLS,1,1,"Store 1 Active"
SUZANNE,NICHOLS,2,1,"Store 2 Active"
MICHELE,GRANT,2,1,"Store 2 Active"
GAIL,KNIGHT,1,1,"Store 1 Active"
BERTHA,FERGUSON,1,1,"Store 1 Active"
DARLENE,ROSE,2,1,"Store 2 Active"
VERONICA,STONE,1,1,"Store 1 Active"
JILL,HAWKINS,1,1,"Store 1 Active"
ERIN,DUNN,2,1,"Store 2 Active"
GERALDINE,PERKINS,1,1,"Store 1 Active"
LAUREN,HUDSON,2,1,"Store 2 Active"
CATHY,SPENCER,1,1,"Store 1 Active"
JOANN,GARDNER,2,1,"Store 2 Active"
LORRAINE,STEPHENS,2,1,"Store 2 Active"
LYNN,PAYNE,1,1,"Store 1 Active"
SALLY,PIERCE,2,1,"Store 2 Active"
REGINA,BERRY,1,1,"Store 1 Active"
ERICA,MATTHEWS,2,0,"Store 2 Inactive"
BEATRICE,ARNOLD,1,1,"Store 1 Active"
DOLORES,WAGNER,2,1,"Store 2 Active"
BERNICE,WILLIS,1,1,"Store 1 Active"
AUDREY,RAY,1,1,"Store 1 Active"
YVONNE,WATKINS,2,1,"Store 2 Active"
ANNETTE,OLSON,1,1,"Store 1 Active"
JUNE,CARROLL,1,1,"Store 1 Active"
SAMANTHA,DUNCAN,2,1,"Store 2 Active"
MARION,SNYDER,2,1,"Store 2 Active"
DANA,HART,1,1,"Store 1 Active"
STACY,CUNNINGHAM,2,1,"Store 2 Active"
ANA,BRADLEY,2,1,"Store 2 Active"
RENEE,LANE,1,1,"Store 1 Active"
IDA,ANDREWS,2,1,"Store 2 Active"
VIVIAN,RUIZ,1,1,"Store 1 Active"
ROBERTA,HARPER,1,1,"Store 1 Active"
HOLLY,FOX,2,1,"Store 2 Active"
BRITTANY,RILEY,2,1,"Store 2 Active"
MELANIE,ARMSTRONG,1,1,"Store 1 Active"
LORETTA,CARPENTER,1,1,"Store 1 Active"
YOLANDA,WEAVER,2,1,"Store 2 Active"
JEANETTE,GREENE,1,1,"Store 1 Active"
LAURIE,LAWRENCE,1,1,"Store 1 Active"
KATIE,ELLIOTT,2,1,"Store 2 Active"
KRISTEN,CHAVEZ,2,1,"Store 2 Active"
VANESSA,SIMS,1,1,"Store 1 Active"
ALMA,AUSTIN,1,1,"Store 1 Active"
SUE,PETERS,2,1,"Store 2 Active"
ELSIE,KELLEY,2,1,"Store 2 Active"
BETH,FRANKLIN,2,1,"Store 2 Active"
JEANNE,LAWSON,2,1,"Store 2 Active"
VICKI,FIELDS,1,1,"Store 1 Active"
CARLA,GUTIERREZ,2,1,"Store 2 Active"
TARA,RYAN,1,1,"Store 1 Active"
ROSEMARY,SCHMIDT,1,1,"Store 1 Active"
EILEEN,CARR,2,1,"Store 2 Active"
TERRI,VASQUEZ,1,1,"Store 1 Active"
GERTRUDE,CASTILLO,1,1,"Store 1 Active"
LUCY,WHEELER,1,1,"Store 1 Active"
TONYA,CHAPMAN,2,1,"Store 2 Active"
ELLA,OLIVER,2,1,"Store 2 Active"
STACEY,MONTGOMERY,1,1,"Store 1 Active"
WILMA,RICHARDS,2,1,"Store 2 Active"
GINA,WILLIAMSON,1,1,"Store 1 Active"
KRISTIN,JOHNSTON,1,1,"Store 1 Active"
JESSIE,BANKS,2,1,"Store 2 Active"
NATALIE,MEYER,1,1,"Store 1 Active"
AGNES,BISHOP,2,1,"Store 2 Active"
VERA,MCCOY,1,1,"Store 1 Active"
WILLIE,HOWELL,2,1,"Store 2 Active"
CHARLENE,ALVAREZ,2,1,"Store 2 Active"
BESSIE,MORRISON,1,1,"Store 1 Active"
DELORES,HANSEN,2,1,"Store 2 Active"
MELINDA,FERNANDEZ,1,1,"Store 1 Active"
PEARL,GARZA,2,1,"Store 2 Active"
ARLENE,HARVEY,1,1,"Store 1 Active"
MAUREEN,LITTLE,2,1,"Store 2 Active"
COLLEEN,BURTON,1,1,"Store 1 Active"
ALLISON,STANLEY,2,1,"Store 2 Active"
TAMARA,NGUYEN,1,1,"Store 1 Active"
JOY,GEORGE,2,1,"Store 2 Active"
GEORGIA,JACOBS,1,1,"Store 1 Active"
CONSTANCE,REID,2,1,"Store 2 Active"
LILLIE,KIM,2,1,"Store 2 Active"
CLAUDIA,FULLER,1,1,"Store 1 Active"
JACKIE,LYNCH,1,1,"Store 1 Active"
MARCIA,DEAN,1,1,"Store 1 Active"
TANYA,GILBERT,1,1,"Store 1 Active"
NELLIE,GARRETT,1,1,"Store 1 Active"
MINNIE,ROMERO,2,1,"Store 2 Active"
MARLENE,WELCH,1,1,"Store 1 Active"
HEIDI,LARSON,2,0,"Store 2 Inactive"
GLENDA,FRAZIER,1,1,"Store 1 Active"
LYDIA,BURKE,1,1,"Store 1 Active"
VIOLA,HANSON,2,1,"Store 2 Active"
COURTNEY,DAY,1,1,"Store 1 Active"
MARIAN,MENDOZA,1,1,"Store 1 Active"
STELLA,MORENO,1,1,"Store 1 Active"
CAROLINE,BOWMAN,1,1,"Store 1 Active"
DORA,MEDINA,2,1,"Store 2 Active"
JO,FOWLER,2,1,"Store 2 Active"
VICKIE,BREWER,2,1,"Store 2 Active"
MATTIE,HOFFMAN,2,1,"Store 2 Active"
TERRY,CARLSON,1,1,"Store 1 Active"
MAXINE,SILVA,2,1,"Store 2 Active"
IRMA,PEARSON,2,1,"Store 2 Active"
MABEL,HOLLAND,2,1,"Store 2 Active"
MARSHA,DOUGLAS,2,1,"Store 2 Active"
MYRTLE,FLEMING,1,1,"Store 1 Active"
LENA,JENSEN,2,1,"Store 2 Active"
CHRISTY,VARGAS,1,1,"Store 1 Active"
DEANNA,BYRD,1,1,"Store 1 Active"
PATSY,DAVIDSON,2,1,"Store 2 Active"
HILDA,HOPKINS,1,1,"Store 1 Active"
GWENDOLYN,MAY,1,1,"Store 1 Active"
JENNIE,TERRY,2,1,"Store 2 Active"
NORA,HERRERA,2,1,"Store 2 Active"
MARGIE,WADE,1,1,"Store 1 Active"
NINA,SOTO,1,1,"Store 1 Active"
CASSANDRA,WALTERS,1,1,"Store 1 Active"
LEAH,CURTIS,1,1,"Store 1 Active"
PENNY,NEAL,1,0,"Store 1 Inactive"
KAY,CALDWELL,1,1,"Store 1 Active"
PRISCILLA,LOWE,2,1,"Store 2 Active"
NAOMI,JENNINGS,1,1,"Store 1 Active"
CAROLE,BARNETT,2,1,"Store 2 Active"
BRANDY,GRAVES,1,1,"Store 1 Active"
OLGA,JIMENEZ,2,1,"Store 2 Active"
BILLIE,HORTON,2,1,"Store 2 Active"
DIANNE,SHELTON,2,1,"Store 2 Active"
TRACEY,BARRETT,2,1,"Store 2 Active"
LEONA,OBRIEN,2,1,"Store 2 Active"
JENNY,CASTRO,2,1,"Store 2 Active"
FELICIA,SUTTON,1,1,"Store 1 Active"
SONIA,GREGORY,1,1,"Store 1 Active"
MIRIAM,MCKINNEY,1,1,"Store 1 Active"
VELMA,LUCAS,1,1,"Store 1 Active"
BECKY,MILES,2,1,"Store 2 Active"
BOBBIE,CRAIG,1,1,"Store 1 Active"
VIOLET,RODRIQUEZ,1,1,"Store 1 Active"
KRISTINA,CHAMBERS,1,1,"Store 1 Active"
TONI,HOLT,1,1,"Store 1 Active"
MISTY,LAMBERT,2,1,"Store 2 Active"
MAE,FLETCHER,2,1,"Store 2 Active"
SHELLY,WATTS,2,1,"Store 2 Active"
DAISY,BATES,1,1,"Store 1 Active"
RAMONA,HALE,2,1,"Store 2 Active"
SHERRI,RHODES,1,1,"Store 1 Active"
ERIKA,PENA,1,1,"Store 1 Active"
JAMES,GANNON,2,1,"Store 2 Active"
JOHN,FARNSWORTH,1,1,"Store 1 Active"
ROBERT,BAUGHMAN,2,1,"Store 2 Active"
MICHAEL,SILVERMAN,1,1,"Store 1 Active"
WILLIAM,SATTERFIELD,2,1,"Store 2 Active"
DAVID,ROYAL,2,1,"Store 2 Active"
RICHARD,MCCRARY,1,1,"Store 1 Active"
CHARLES,KOWALSKI,1,1,"Store 1 Active"
JOSEPH,JOY,2,1,"Store 2 Active"
THOMAS,GRIGSBY,1,1,"Store 1 Active"
CHRISTOPHER,GRECO,1,1,"Store 1 Active"
DANIEL,CABRAL,2,1,"Store 2 Active"
PAUL,TROUT,2,1,"Store 2 Active"
MARK,RINEHART,2,1,"Store 2 Active"
DONALD,MAHON,2,1,"Store 2 Active"
GEORGE,LINTON,1,1,"Store 1 Active"
KENNETH,GOODEN,2,0,"Store 2 Inactive"
STEVEN,CURLEY,1,1,"Store 1 Active"
EDWARD,BAUGH,2,1,"Store 2 Active"
BRIAN,WYMAN,1,1,"Store 1 Active"
RONALD,WEINER,2,1,"Store 2 Active"
ANTHONY,SCHWAB,2,1,"Store 2 Active"
KEVIN,SCHULER,1,1,"Store 1 Active"
JASON,MORRISSEY,1,1,"Store 1 Active"
MATTHEW,MAHAN,2,1,"Store 2 Active"
GARY,COY,2,1,"Store 2 Active"
TIMOTHY,BUNN,1,1,"Store 1 Active"
JOSE,ANDREW,1,1,"Store 1 Active"
LARRY,THRASHER,2,1,"Store 2 Active"
JEFFREY,SPEAR,2,1,"Store 2 Active"
FRANK,WAGGONER,2,1,"Store 2 Active"
SCOTT,SHELLEY,1,1,"Store 1 Active"
ERIC,ROBERT,1,1,"Store 1 Active"
STEPHEN,QUALLS,1,1,"Store 1 Active"
ANDREW,PURDY,2,1,"Store 2 Active"
RAYMOND,MCWHORTER,2,1,"Store 2 Active"
GREGORY,MAULDIN,1,1,"Store 1 Active"
JOSHUA,MARK,1,1,"Store 1 Active"
JERRY,JORDON,1,1,"Store 1 Active"
DENNIS,GILMAN,1,1,"Store 1 Active"
WALTER,PERRYMAN,2,1,"Store 2 Active"
PATRICK,NEWSOM,1,1,"Store 1 Active"
PETER,MENARD,1,1,"Store 1 Active"
HAROLD,MARTINO,1,1,"Store 1 Active"
DOUGLAS,GRAF,1,1,"Store 1 Active"
HENRY,BILLINGSLEY,1,1,"Store 1 Active"
CARL,ARTIS,1,1,"Store 1 Active"
ARTHUR,SIMPKINS,1,1,"Store 1 Active"
RYAN,SALISBURY,2,1,"Store 2 Active"
ROGER,QUINTANILLA,2,1,"Store 2 Active"
JOE,GILLILAND,2,1,"Store 2 Active"
JUAN,FRALEY,1,1,"Store 1 Active"
JACK,FOUST,1,1,"Store 1 Active"
ALBERT,CROUSE,1,1,"Store 1 Active"
JONATHAN,SCARBOROUGH,1,1,"Store 1 Active"
JUSTIN,NGO,2,1,"Store 2 Active"
TERRY,GRISSOM,2,1,"Store 2 Active"
GERALD,FULTZ,2,1,"Store 2 Active"
KEITH,RICO,1,1,"Store 1 Active"
SAMUEL,MARLOW,2,1,"Store 2 Active"
WILLIE,MARKHAM,2,1,"Store 2 Active"
RALPH,MADRIGAL,2,1,"Store 2 Active"
LAWRENCE,LAWTON,2,1,"Store 2 Active"
NICHOLAS,BARFIELD,1,1,"Store 1 Active"
ROY,WHITING,2,1,"Store 2 Active"
BENJAMIN,VARNEY,1,1,"Store 1 Active"
BRUCE,SCHWARZ,2,1,"Store 2 Active"
BRANDON,HUEY,1,1,"Store 1 Active"
ADAM,GOOCH,1,1,"Store 1 Active"
HARRY,ARCE,1,0,"Store 1 Inactive"
FRED,WHEAT,2,1,"Store 2 Active"
WAYNE,TRUONG,2,1,"Store 2 Active"
BILLY,POULIN,1,1,"Store 1 Active"
STEVE,MACKENZIE,2,1,"Store 2 Active"
LOUIS,LEONE,1,1,"Store 1 Active"
JEREMY,HURTADO,2,1,"Store 2 Active"
AARON,SELBY,2,1,"Store 2 Active"
RANDY,GAITHER,1,1,"Store 1 Active"
HOWARD,FORTNER,1,1,"Store 1 Active"
EUGENE,CULPEPPER,1,1,"Store 1 Active"
CARLOS,COUGHLIN,1,1,"Store 1 Active"
RUSSELL,BRINSON,1,1,"Store 1 Active"
BOBBY,BOUDREAU,2,1,"Store 2 Active"
VICTOR,BARKLEY,2,1,"Store 2 Active"
MARTIN,BALES,1,1,"Store 1 Active"
ERNEST,STEPP,2,1,"Store 2 Active"
PHILLIP,HOLM,1,1,"Store 1 Active"
TODD,TAN,1,1,"Store 1 Active"
JESSE,SCHILLING,2,1,"Store 2 Active"
CRAIG,MORRELL,2,1,"Store 2 Active"
ALAN,KAHN,1,1,"Store 1 Active"
SHAWN,HEATON,1,1,"Store 1 Active"
CLARENCE,GAMEZ,1,1,"Store 1 Active"
SEAN,DOUGLASS,2,1,"Store 2 Active"
PHILIP,CAUSEY,1,1,"Store 1 Active"
CHRIS,BROTHERS,2,1,"Store 2 Active"
JOHNNY,TURPIN,2,1,"Store 2 Active"
EARL,SHANKS,1,1,"Store 1 Active"
JIMMY,SCHRADER,1,1,"Store 1 Active"
ANTONIO,MEEK,1,1,"Store 1 Active"
DANNY,ISOM,1,1,"Store 1 Active"
BRYAN,HARDISON,2,1,"Store 2 Active"
TONY,CARRANZA,2,1,"Store 2 Active"
LUIS,YANEZ,1,1,"Store 1 Active"
MIKE,WAY,1,1,"Store 1 Active"
STANLEY,SCROGGINS,2,1,"Store 2 Active"
LEONARD,SCHOFIELD,1,1,"Store 1 Active"
NATHAN,RUNYON,1,0,"Store 1 Inactive"
DALE,RATCLIFF,1,1,"Store 1 Active"
MANUEL,MURRELL,1,1,"Store 1 Active"
RODNEY,MOELLER,2,1,"Store 2 Active"
CURTIS,IRBY,2,1,"Store 2 Active"
NORMAN,CURRIER,1,1,"Store 1 Active"
ALLEN,BUTTERFIELD,2,1,"Store 2 Active"
MARVIN,YEE,2,1,"Store 2 Active"
VINCENT,RALSTON,1,1,"Store 1 Active"
GLENN,PULLEN,1,1,"Store 1 Active"
JEFFERY,PINSON,2,1,"Store 2 Active"
TRAVIS,ESTEP,1,1,"Store 1 Active"
JEFF,EAST,2,1,"Store 2 Active"
CHAD,CARBONE,1,1,"Store 1 Active"
JACOB,LANCE,1,1,"Store 1 Active"
LEE,HAWKS,1,1,"Store 1 Active"
MELVIN,ELLINGTON,1,1,"Store 1 Active"
ALFRED,CASILLAS,2,1,"Store 2 Active"
KYLE,SPURLOCK,2,1,"Store 2 Active"
FRANCIS,SIKES,2,1,"Store 2 Active"
BRADLEY,MOTLEY,1,1,"Store 1 Active"
JESUS,MCCARTNEY,2,1,"Store 2 Active"
HERBERT,KRUGER,2,1,"Store 2 Active"
FREDERICK,ISBELL,2,1,"Store 2 Active"
RAY,HOULE,1,1,"Store 1 Active"
JOEL,FRANCISCO,2,1,"Store 2 Active"
EDWIN,BURK,1,1,"Store 1 Active"
DON,BONE,1,1,"Store 1 Active"
EDDIE,TOMLIN,1,1,"Store 1 Active"
RICKY,SHELBY,2,1,"Store 2 Active"
TROY,QUIGLEY,1,1,"Store 1 Active"
RANDALL,NEUMANN,2,1,"Store 2 Active"
BARRY,LOVELACE,1,1,"Store 1 Active"
ALEXANDER,FENNELL,2,1,"Store 2 Active"
BERNARD,COLBY,1,1,"Store 1 Active"
MARIO,CHEATHAM,1,1,"Store 1 Active"
LEROY,BUSTAMANTE,1,1,"Store 1 Active"
FRANCISCO,SKIDMORE,2,1,"Store 2 Active"
MARCUS,HIDALGO,2,1,"Store 2 Active"
MICHEAL,FORMAN,1,1,"Store 1 Active"
THEODORE,CULP,2,0,"Store 2 Inactive"
CLIFFORD,BOWENS,1,1,"Store 1 Active"
MIGUEL,BETANCOURT,1,1,"Store 1 Active"
OSCAR,AQUINO,2,1,"Store 2 Active"
JAY,ROBB,1,1,"Store 1 Active"
JIM,REA,1,1,"Store 1 Active"
TOM,MILNER,1,1,"Store 1 Active"
CALVIN,MARTEL,1,1,"Store 1 Active"
ALEX,GRESHAM,2,1,"Store 2 Active"
JON,WILES,2,1,"Store 2 Active"
RONNIE,RICKETTS,2,1,"Store 2 Active"
BILL,GAVIN,2,1,"Store 2 Active"
LLOYD,DOWD,1,1,"Store 1 Active"
TOMMY,COLLAZO,1,1,"Store 1 Active"
LEON,BOSTIC,1,1,"Store 1 Active"
DEREK,BLAKELY,1,1,"Store 1 Active"
WARREN,SHERROD,2,1,"Store 2 Active"
DARRELL,POWER,2,1,"Store 2 Active"
JEROME,KENYON,1,1,"Store 1 Active"
FLOYD,GANDY,1,1,"Store 1 Active"
LEO,EBERT,1,1,"Store 1 Active"
ALVIN,DELOACH,2,1,"Store 2 Active"
TIM,CARY,1,1,"Store 1 Active"
WESLEY,BULL,2,1,"Store 2 Active"
GORDON,ALLARD,1,1,"Store 1 Active"
DEAN,SAUER,1,1,"Store 1 Active"
GREG,ROBINS,1,1,"Store 1 Active"
JORGE,OLIVARES,2,1,"Store 2 Active"
DUSTIN,GILLETTE,2,1,"Store 2 Active"
PEDRO,CHESTNUT,2,1,"Store 2 Active"
DERRICK,BOURQUE,1,1,"Store 1 Active"
DAN,PAINE,1,1,"Store 1 Active"
LEWIS,LYMAN,1,1,"Store 1 Active"
ZACHARY,HITE,1,1,"Store 1 Active"
COREY,HAUSER,1,1,"Store 1 Active"
HERMAN,DEVORE,1,1,"Store 1 Active"
MAURICE,CRAWLEY,1,0,"Store 1 Inactive"
VERNON,CHAPA,2,1,"Store 2 Active"
ROBERTO,VU,1,1,"Store 1 Active"
CLYDE,TOBIAS,1,1,"Store 1 Active"
GLEN,TALBERT,1,1,"Store 1 Active"
HECTOR,POINDEXTER,2,1,"Store 2 Active"
SHANE,MILLARD,2,1,"Store 2 Active"
RICARDO,MEADOR,1,1,"Store 1 Active"
SAM,MCDUFFIE,1,1,"Store 1 Active"
RICK,MATTOX,2,1,"Store 2 Active"
LESTER,KRAUS,2,1,"Store 2 Active"
BRENT,HARKINS,1,1,"Store 1 Active"
RAMON,CHOATE,2,1,"Store 2 Active"
CHARLIE,BESS,2,1,"Store 2 Active"
TYLER,WREN,2,1,"Store 2 Active"
GILBERT,SLEDGE,2,1,"Store 2 Active"
GENE,SANBORN,1,1,"Store 1 Active"
MARC,OUTLAW,2,1,"Store 2 Active"
REGINALD,KINDER,1,1,"Store 1 Active"
RUBEN,GEARY,1,1,"Store 1 Active"
BRETT,CORNWELL,1,1,"Store 1 Active"
ANGEL,BARCLAY,1,1,"Store 1 Active"
NATHANIEL,ADAM,1,1,"Store 1 Active"
RAFAEL,ABNEY,1,1,"Store 1 Active"
LESLIE,SEWARD,2,1,"Store 2 Active"
EDGAR,RHOADS,2,1,"Store 2 Active"
MILTON,HOWLAND,2,1,"Store 2 Active"
RAUL,FORTIER,1,1,"Store 1 Active"
BEN,EASTER,2,0,"Store 2 Inactive"
CHESTER,BENNER,1,1,"Store 1 Active"
CECIL,VINES,1,1,"Store 1 Active"
DUANE,TUBBS,2,1,"Store 2 Active"
FRANKLIN,TROUTMAN,2,1,"Store 2 Active"
ANDRE,RAPP,1,1,"Store 1 Active"
ELMER,NOE,2,1,"Store 2 Active"
BRAD,MCCURDY,2,1,"Store 2 Active"
GABRIEL,HARDER,1,1,"Store 1 Active"
RON,DELUCA,2,1,"Store 2 Active"
MITCHELL,WESTMORELAND,2,1,"Store 2 Active"
ROLAND,SOUTH,2,1,"Store 2 Active"
ARNOLD,HAVENS,2,1,"Store 2 Active"
HARVEY,GUAJARDO,1,1,"Store 1 Active"
JARED,ELY,1,1,"Store 1 Active"
ADRIAN,CLARY,2,1,"Store 2 Active"
KARL,SEAL,2,1,"Store 2 Active"
CORY,MEEHAN,1,1,"Store 1 Active"
CLAUDE,HERZOG,1,1,"Store 1 Active"
ERIK,GUILLEN,2,1,"Store 2 Active"
DARRYL,ASHCRAFT,2,1,"Store 2 Active"
JAMIE,WAUGH,2,1,"Store 2 Active"
NEIL,RENNER,2,1,"Store 2 Active"
JESSIE,MILAM,1,1,"Store 1 Active"
CHRISTIAN,JUNG,1,0,"Store 1 Inactive"
JAVIER,ELROD,1,1,"Store 1 Active"
FERNANDO,CHURCHILL,2,1,"Store 2 Active"
CLINTON,BUFORD,2,1,"Store 2 Active"
TED,BREAUX,2,1,"Store 2 Active"
MATHEW,BOLIN,1,1,"Store 1 Active"
TYRONE,ASHER,1,1,"Store 1 Active"
